Timestamp,Coder initials:,id,What date was the article received by the journal?,Does the article state whether or not the data are available?,"According to the statement, how are the data accessible?",What reasons are provided?,"For reasons selected above, please provide additional details here:",What does the link lead to?,What is the file format?,Were you able to successfully download and open the data file(s)?,Does all of the data needed for evaluation and reproduction of the research appear to be available after brief review?,Are the data understandable after brief review?,Are analysis scripts also available to download?,Is a license provided with the data?,Why could you not access the data file?,codingStatus,passToTriage,triageStatus,reproducibilityStatus,valuesChecked,eyeballs,Total_df,Total_p,Total_mean,Total_sd,Total_se,Total_ci,Total_bf,Total_t,Total_F,Total_es,Total_median,Total_irr,Total_r,Total_z,Total_coeff,Total_n,Total_x2,Total_other,Insufficient_Information_Errors,Decision_Errors,Major_Numerical_Errors,Minor_Numerical_Errors,Major_df,Major_p,Major_mean,Major_sd,Major_se,Major_ci,Major_bf,Major_t,Major_F,Major_es,Major_median,Major_irr,Major_r,Major_z,Major_coeff,Major_n,Major_x2,Major_other,affectsConclusion,error_typo,error_specification,error_analysis,error_data,error_unidentified,Author_Assistance,resolved_typo,resolved_specification,resolved_analysis,resolved_data,correctionSuggested,correctionPublished,outcome,date,statement,accessHow,accessWhere,access,complete,understandable,analysisScripts,license,month,year,daysSincePolicy,policy,available,timeBlock50,trend,pred,se,upper,lower,counterfactual
3/1/17 11:06,TH,IbIAB,10/27/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",NA,complete,TRUE,rejected,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-27,"Yes, available",URL,Supplementary information,Yes,Yes,Yes,No,CC-BY,10,2015,240,POST-,TRUE,"(200,250]",240,0.8513825184733674,0.0333292186625124,0.9167077870518917,0.7860572498948432,0.4348210133850161
3/23/17 15:28,MK,dfTWx,10/28/15,No - there is no data availability statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,complete,?,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-28,No statement,NA,NA,NA,NA,NA,NA,NA,10,2015,241,POST-,FALSE,"(200,250]",241,0.8521423616546994,0.033344023122497166,0.9174966469747938,0.7867880763346049,0.4351425194842634
4/27/17 10:15,TH,gZJXQ,10/28/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,A third party repository,.sav or .sps (SPSS),Yes,It is unclear if all of the data are available,Partly,No,"No, a license is not provided",NA,complete,?,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-28,"Yes, available",URL,Third party repository,Yes,Unclear,Partly,No,No,10,2015,241,POST-,TRUE,"(200,250]",241,0.8521423616546994,0.033344023122497166,0.9174966469747938,0.7867880763346049,0.4351425194842634
3/24/17 6:07,GB,PEILi,10/28/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), PDF",Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",NA,complete,TRUE,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-28,"Yes, available",URL,Supplementary information,Yes,Yes,Yes,No,No,10,2015,241,POST-,TRUE,"(200,250]",241,0.8521423616546994,0.033344023122497166,0.9174966469747938,0.7867880763346049,0.4351425194842634
3/23/17 17:45,GB,Pbqzu,11/9/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,PDF,Yes,"No, there are no data in the file",No,No,"No, a license is not provided",NA,complete,?,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-09,"Yes, available",URL,Supplementary information,Yes,No,No,No,No,11,2015,253,POST-,TRUE,"(250,300]",253,0.8610117803384746,0.03349931290607079,0.9266704336343733,0.7953531270425759,0.43900477346558026
3/18/17 18:34,EC,sEGLF,11/11/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",NA,complete,TRUE,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-11,"Yes, available",URL,Supplementary information,Yes,Yes,Yes,No,CC-BY,11,2015,255,POST-,TRUE,"(250,300]",255,0.8624458720953961,0.03352033745985701,0.9281457335167159,0.7967460106740764,0.43964921449684097
3/1/17 12:04,TH,gIjYG,11/13/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",NA,complete,TRUE,accepted,complete,15,2,6,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unlikely,0,0,0,0,0,TRUE,0,3,0,0,NA,NA,Success with author assistance,2015-11-13,"Yes, available",URL,Supplementary information,Yes,Yes,Yes,No,CC-BY,11,2015,257,POST-,TRUE,"(250,300]",257,0.8638675063067746,0.0335397489023951,0.9296054141554689,0.7981295984580802,0.4402938590682795
5/10/17 6:07,GB,wOnYr,11/13/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,.sav or .sps (SPSS),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",NA,complete,TRUE,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-13,"Yes, available",URL,Supplementary information,Yes,Yes,Yes,No,CC-BY,11,2015,257,POST-,TRUE,"(250,300]",257,0.8638675063067746,0.0335397489023951,0.9296054141554689,0.7981295984580802,0.4402938590682795
3/1/17 11:33,TH,rYrBD,11/15/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Partly,No,"Yes, it is a CC-BY license",NA,complete,?,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-15,"Yes, available",URL,Supplementary information,Yes,Yes,Partly,No,CC-BY,11,2015,259,POST-,TRUE,"(250,300]",259,0.8652767429607426,0.03355747451672385,0.9310493930135214,0.7995040929079639,0.44093870506901556
3/20/17 10:04,EC,SXoTj,11/16/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,NA,NA,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",NA,complete,TRUE,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-16,"Yes, available",URL,Supplementary information,Yes,Yes,Yes,No,CC-BY,11,2015,260,POST-,TRUE,"(250,300]",260,0.8659767311526404,0.03356568375976949,0.9317654713217886,0.8001879909834922,0.44126120294498117
